   RXTXRobot API version 4.5.5
0.0 -2.7E-5 0.553711 2.723671
0.129722 -1.4E-5 0.0 1.066048
0.0 -0.46469 -2.144714 1.371269
0.0 -0.172797 -0.469879 1.218674
0.0 -0.45827 -1.379517 1.904274
5.610878 0.024265 -0.15013 -0.151989
0.0 -0.1487 -0.734039 0.983644
0.382573 -0.047238 0.208038 1.057281
4.154827 -0.048987 -0.166805 9.53E-4
0.0 -5.224532 -19.569233 4.952831
13.250453 2.99662 10.194077 -4.141994
13.553679 2.739087 9.794847 -3.825599
12.362923 2.840349 9.65704 -4.174431
0.0 -0.012211 -0.210651 0.254118
0.0 -5.0436 -18.5271 5.64024
0.0 -0.441371 -1.255249 1.818275
0.0 -0.028516 0.643402 0.584129
0.0 -0.099601 -0.159836 1.549524
0.0 0.047634 0.353012 1.199171
0.978988 -0.092184 -0.319839 1.038176
1.300106 0.198506 -0.45697 1.288155
0.0 0.019224 -0.034225 1.26158
1.015486 -0.306114 -2.097809 2.48391
0.0 0.029771 -0.206619 0.881794
2.4583 0.016842 -0.167225 0.257307
0.0 -0.029592 0.486877 1.886745
0.0 0.055019 0.25938 0.242592
0.0 -0.149446 -0.66029 0.307201
0.0 0.1045 0.625851 0.72217
0.0 -0.22066 -0.131744 0.483761
0.0 0.198428 1.189026 0.449802
0.0 -0.149814 -0.489258 0.930325
2.994999 -0.17794 -0.508049 0.07262
0.0 -0.143398 0.801277 1.283587
0.092787 -3.0E-6 2.3E-5 -1.14E-4
0.0 -0.073558 -0.32848 0.985598
0.0 -0.205459 -0.230495 1.530291
0.190774 -0.07512 0.244194 0.355282
0.0 -0.065826 -0.303852 0.722794
0.0 -0.066265 -0.302956 2.044661
0.0 -0.090533 3.78E-4 0.740467
0.0 0.112048 0.214649 0.823444
0.0 0.135786 0.0317 0.657417
0.0 0.066681 0.29055 2.227167
0.0 0.003671 0.075592 0.769774
3.179894 0.150444 0.448959 1.113535
0.0 0.02841 -0.157162 1.331264
0.0 -0.080328 0.353577 1.563331
1.341443 0.153768 -0.08049 1.248346
4.760988 -0.082676 -0.722137 0.150101
1.687601 0.147876 0.554848 1.325275
0.0 0.001873 -0.180742 0.942211
0.0 0.108566 -0.023888 0.914625
0.0 0.035215 0.113949 0.826993
3.515135 0.20077 1.063141 0.975079
0.0 -0.049546 0.197449 0.825737
0.0 -0.046862 -0.381241 1.012896
0.0 -0.074231 -0.275879 0.586348
0.0 0.024807 0.017776 0.552422

Closing robot connection...
Resetting servos and motors...
0.0 -0.087892 0.223217 1.69003
0.0 0.035007 0.108139 1.21715
2.657413 -0.197664 -0.554737 -0.603431
0.0 0.141615 0.442707 -0.06972
0.727931 -0.070091 -0.219933 0.151193
0.062557 1.0E-6 -1.1E-5 3.9E-5
Connection closed!
1.84928 0.031959 0.101826 -0.169029
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.0 -0.135431 -0.426773 0.251995
1.912746 0.135272 0.425972 -0.253996
0.0 -0.031994 -0.101959 0.167972
1.84928 0.031959 0.101826 -0.169029
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.0 -0.031994 -0.101959 0.167972
1.84928 0.031959 0.101826 -0.169029
0.0 -0.031994 -0.101959 0.167972
0.062557 1.0E-6 -1.1E-5 3.9E-5
1.84928 0.031959 0.101826 -0.169029
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.0 0.038179 0.118141 0.015371
1.978234 -0.038139 -0.118034 -0.017066
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.039565 -9.0E-6 0.0 -6.5E-5
0.0 0.038179 0.118141 0.015371
0.727931 -0.070091 -0.219933 0.151193
0.0 0.038147 0.117954 0.015596

62
